"","Gene","acarbose/H/24 hr","acarbose/H/24 hr(p)"
"236379_at","",0.5930553356026731,0.09733320273445807
"222907_x_at","757",0.5930483886677538,0.21485806348040104
"201934_at","80335",0.5927972636807467,0.044554895431638965
"222279_at","285830",0.592268060966346,0.37511292198309265
"1565939_at","55322",0.5913085874355242,0.2628450981524179
"226691_at","84629",0.5904959287927378,0.03217480977420076
"226947_at","375513 728411",0.5899990609567003,0.11434601821656953
"232811_x_at","144165",0.5899772639147419,0.09164887767678964
"242568_s_at","",0.58941942281581,0.3179016075626056
"234749_s_at","25886",0.5885534146689468,0.4749249437874409
"243895_x_at","",0.5884080908663808,0.6363539602453436
"229695_at","",0.5881578074243318,0.3262294935554675
"226181_at","51175",0.5881442739132594,0.20351353843530479
"202572_s_at","22839",0.586926652748252,0.1312540122640764
"225239_at","100653017 283131 693197",0.5869047937197768,0.2749909055087974
"222094_at","548593 79008 6818 100526830 445329",0.5856344866919465,0.2864414962913798
"208050_s_at","835",0.584441596292879,0.25600896606568263
"213472_at","3187",0.5841029443408594,0.14289246766749894
"227340_s_at","285704",0.5819180738303988,0.20583229762730496
"209884_s_at","9497",0.5807846842974425,0.08789251250571069
"235834_at","800",0.5807753679906192,0.32742785484355114
"228349_at","158405",0.5805418789403465,0.059560336089758
"203688_at","5311",0.5804596715866025,0.050556233222113056
"1557801_x_at","280636",0.5800898716848274,0.17475648550545766
"226974_at","23327",0.5798804988560784,0.10974874499273868
"240037_at","150771",0.579538509494125,0.3148660501663586
"1562110_at","",0.5778855978238633,0.26254371839427887
"213684_s_at","10611",0.5775626356882546,0.3537814391335476
"233411_at","",0.5774092853506756,0.16743729562736018
"232810_at","51390",0.5758246936402535,0.0751841917144723
"242555_at","388272",0.5749446894701497,0.4009049937079618
"201620_at","8720",0.5749184348684306,0.16172049808365102
"240108_at","",0.5744901115551848,0.3571521081114412
"222164_at","2260",0.5744634813964956,0.1964194795226954
"244362_at","",0.5744575035189504,0.20081485867455542
"225476_at","7918",0.5741415023591057,0.1173168987962997
"204956_at","4507",0.5739821499614675,0.1944901528183732
"232071_at","9801",0.573909090259961,0.15237279592226624
"234870_at","85461",0.573853148034108,0.6779744529993927
"240399_at","",0.5738202792585353,0.4419440668379345
"1559517_a_at","56907",0.5738142675866899,0.26179726089929045
"207387_s_at","2710",0.5735367528022968,0.22225959713848384
"233369_at","",0.5732349421776712,0.15950508767105054
"201878_at","25820",0.5732036540027214,0.012055281417870193
"1556227_at","80124",0.5731374988022775,0.16578796455413036
"244828_x_at","92345",0.5726366361550432,0.2866817657069466
"241795_at","6009",0.5712958081044366,0.44944532150183125
"1568777_at","161436",0.5710892368497631,0.21313883298717684
"209271_at","2186",0.5708876042027585,0.24747523736466495
"226341_at","100506365",0.5708790338406362,0.174195196000134
"236000_s_at","",0.570628223054188,0.2422257187407723
"238761_at","2005",0.570293991072853,0.2176890019135057
"237075_at","100506762",0.5701868363503616,0.5047688144008546
"234562_x_at","",0.5701673938597034,0.22805891299921713
"210077_s_at","6430",0.5699706690437369,0.18696963392765797
"222542_x_at","56997",0.5697190650618081,0.2841799505588986
"204148_s_at","22932 7784",0.5696801084650471,0.19189833675434842
"216248_s_at","4929",0.5692380696286966,0.14701578818939567
"228185_at","219749",0.5691209548548186,0.26292055400677894
"235366_at","7556",0.5690752554127142,0.15420645208792688
"204167_at","686",0.5690432281543106,0.31808955921780274
"208557_at","3203",0.5689543140083504,0.3573779600411016
